prices,times,price_change,time_diff,random_volume,volume,obv,atrue,hist_volatility,macd,adx,stoch,roc,moving_average,rsi,rolling_mean,rolling_std,upper_band,lower_band,label
2157.98,1700825712,-0.01999999999998181,2.0,635,127.60999999999999,-52.16999999999996,0.2807636197378571,0.3762042933415451,-0.0007852283873823196,14.136681040095024,42.31104144896878,-0.025017141374643906,2158.3665,-0.0018087665754302513,2158.3665,0.5881485222383094,2159.5427970444766,2157.1902029555235,0
2157.85,1700825714,-0.13000000000010914,2.0,721,144.86500000000007,-197.03500000000003,0.26999478975658936,0.3784504264413863,-0.003982973200535811,14.39323249379014,47.701149425283525,-0.002317067519355943,2158.294,-0.002375184237788254,2158.294,0.555483667864159,2159.404967335728,2157.1830326642716,0
2157.99,1700825716,0.13999999999987267,2.0,343,69.26999999999994,-127.76500000000009,0.2607094476311096,0.32248093903820046,0.0059283769088438465,14.315137396209595,41.54496281270218,0.027811383199139193,2158.2015,-0.0011854863834039274,2158.2015,0.4226392638755017,2159.046778527751,2157.356221472249,1
2157.87,1700825718,-0.11999999999989086,2.0,426,85.85999999999994,-213.62500000000003,0.25065877280030824,0.31817905664408974,0.0069305798374353356,14.450437441616106,31.257606490863438,0.0027805969941721207,2158.141,-0.00177224954910859,2158.141,0.3740799239128187,2158.889159847826,2157.3928401521744,0
2157.99,1700825720,0.11999999999989086,2.0,986,197.85999999999996,-15.765000000000072,0.24132600331456414,0.30545678279075045,0.017596607901570693,14.286559525902385,29.411764705869768,0.009268742556032706,2158.1145,-0.0007895465274418378,2158.1145,0.3644675279752116,2158.8434350559505,2157.3855649440497,1
2158.4,1700825722,0.41000000000030923,2.0,893,179.40500000000017,163.6400000000001,0.2533741459349745,0.2987372692567639,0.052227619802719005,13.308967212939834,45.49019607842403,-0.004169581512987819,2158.0989999999997,0.0018604725148107103,2158.0989999999997,0.34381604628817813,2158.786632092576,2157.4113679074235,1
2158.71,1700825724,0.30999999999994543,2.0,277,56.15499999999998,219.79500000000007,0.2574188497967581,0.3212817735587083,0.09356320073431829,13.003012628831012,72.15686274509069,0.009265650842470875,2158.1085,0.003533714807410934,2158.1085,0.35837755745193006,2158.8252551149035,2157.391744885096,1
2158.59,1700825726,-0.11999999999989086,2.0,592,119.05999999999995,100.73500000000013,0.24760321766841045,0.33222278371756064,0.10927935128662133,12.453129818780594,90.15725101922298,0.006022812560812298,2158.143,0.0023173963270749225,2158.143,0.37026448584034743,2158.883528971681,2157.4024710283193,0
2158.21,1700825728,-0.38000000000010914,2.0,496,99.99000000000005,0.7450000000000756,0.2570601306921032,0.3144269163308317,0.0912722102868126,11.96889767067657,79.53795379538757,-0.015751314539859885,2158.184,-0.0003463420426080325,2158.184,0.32514612099921164,2158.834292241999,2157.5337077580016,0
2158.18,1700825730,-0.03000000000020009,2.0,526,105.8150000000001,-105.07000000000002,0.24084154992839585,0.29283382378173245,0.07520008206423279,11.57844927894406,62.04620462046724,-0.017141136411032664,2158.2025,-0.0004858441495904392,2158.2025,0.31304741527652463,2158.828594830553,2157.576405169447,0
2159.29,1700825732,1.1100000000001273,2.0,323,65.75500000000007,-39.314999999999955,0.30292429636209095,0.42753060426302736,0.133764050436245,12.259568038403188,66.00660066006674,0.045405896279960625,2158.2775,0.006451316119819684,2158.2775,0.3812703834075271,2159.0400407668153,2157.514959233185,1
2159.34,1700825734,0.0500000000001819,2.0,750,150.62500000000009,111.31000000000013,0.28485827519338314,0.51721783197559,0.1680868592419332,12.96203353352813,82.50825082507968,0.06580410765923077,2158.3199999999997,0.005898866009958797,2158.3199999999997,0.4477781405543832,2159.2155562811085,2157.424443718891,1
2160.32,1700825736,0.9800000000000182,2.0,911,183.29000000000002,294.60000000000014,0.3345112555367142,0.7203204415127586,0.24438384390549134,14.770342100751899,100.0,0.12142559206564146,2158.4105000000004,0.011172004208880142,2158.4105000000004,0.632858801912432,2159.676217603825,2157.1447823961757,1
2160.36,1700825738,0.03999999999996362,2.0,618,124.21999999999998,418.8200000000001,0.31347473728408914,0.8616340213879513,0.2824442106085791,16.489379345035285,100.0,0.10936051899907911,2158.5054999999998,0.009927558101404908,2158.5054999999998,0.7687068772671002,2160.042913754534,2156.9680862454657,1
2161.43,1700825740,1.069999999999709,2.0,559,112.93499999999986,531.755,0.36751225604949056,1.1125352198402776,0.3596318648692585,18.98898642424812,100.0,0.15987173189741416,2158.6495,0.01521406318552594,2158.6495,1.0095151259257749,2160.6685302518517,2156.6304697481482,1
2161.42,1700825742,-0.009999999999763531,2.0,249,50.40499999999989,481.35000000000014,0.34197566633165294,1.2546467477100582,0.3875546898776643,21.28757850499392,99.90636704120071,0.16544245429479176,2158.793,0.013121658436533986,2158.793,1.183598882978633,2161.1601977659575,2156.4258022340427,0
2161.31,1700825744,-0.11000000000012733,2.0,602,121.05500000000006,360.2950000000001,0.3254059758794011,1.330022721445687,0.37587043178763524,23.16271446742744,98.78277153558373,0.1538468667602799,2158.943,0.01069134787725378,2158.943,1.3032190913266546,2161.5494381826534,2156.336561817347,0
